Compound,AirTemp,TrackTemp,Driver,race,LapTimeSeconds
HARD,22.5,31.3,ALB,2023 Austria,74.393
HARD,22.5,31.2,SAR,2023 Austria,71.488
HARD,22.5,31.2,STR,2023 Austria,69.752
HARD,22.5,31.2,VER,2023 Austria,69.511
HARD,22.5,31.2,TSU,2023 Austria,71.321
MEDIUM,22.5,31.2,LEC,2023 Austria,70.522
HARD,22.5,31.2,OCO,2023 Austria,96.628
MEDIUM,22.5,31.2,SAI,2023 Austria,70.521
HARD,22.5,31.2,PIA,2023 Austria,74.404
HARD,22.5,31.2,ZHO,2023 Austria,70.085
MEDIUM,22.5,31.2,DEV,2023 Austria,70.003
HARD,22.5,31.2,MAG,2023 Austria,70.569
MEDIUM,22.5,31.2,PER,2023 Austria,69.79
MEDIUM,22.5,31.2,ALO,2023 Austria,71.349
HARD,22.5,31.2,BOT,2023 Austria,88.026
HARD,22.5,31.2,HAM,2023 Austria,74.083
HARD,22.5,31.2,GAS,2023 Austria,71.96
HARD,22.5,31.2,NOR,2023 Austria,87.349
HARD,22.3,31.0,SAR,2023 Austria,71.551
MEDIUM,22.3,31.0,RUS,2023 Austria,87.635
HARD,22.3,31.0,STR,2023 Austria,69.898
HARD,22.3,31.0,VER,2023 Austria,69.592
HARD,22.3,31.0,ALB,2023 Austria,93.6
HARD,22.3,31.0,TSU,2023 Austria,71.645
